ANIO,COMBUSTIBLE,KILOMETROS,MARCA,PRECIO_NORMAL,PUERTAS,REGION,TIPO_AVISO,TIPO_CATEGORIA,TRANSMISION,VERSION,AIRBAG_ACOMP,AIRBAG_CONDUC,AIRBAG_CORTINA,AIRBAG_LAT,AIRBAG_TRAS,ALARMA,CIERRE_AUT_MOV,FRENOS_ABS,ISOFIX,AIRE_ACON,BLUETOOTH,CNTRL_VEL_CRUCERO,GPS,MANOS_LIBRES,RANGO_KM,RANGO_PRECIO,LOG_PRECIO,Label
2015,DIESEL,94409,KIA,12900000.0,5 o MAS,IX REGION,ASISTIDA,MONOVOLUMEN,AUTOMATICA,GRAND CARNIVAL,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(60000, 100000]","(10000000, 15000000]",16.3727378693319,13207786.239853026
2008,DIESEL,200000,CITROEN,2500000.0,3,VIII REGION,PARTICULAR,UTILITARIO,MANUAL,BERLINGO,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(0, 2500000]",14.73180128983843,3738327.9627806228
2014,DIESEL,137061,VOLKSWAGEN,13200000.0,4,RM,,PICK UP,MANUAL,AMAROK,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(100000, 250000]","(10000000, 15000000]",16.3957273875566,13207786.239853026
2014,BENCINA,69000,HYUNDAI,4000000.0,4,XIV - LOS RIOS,PARTICULAR,HATCHBACK,MANUAL,I10,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(2500000, 5000000]",15.201804919084164,3738327.9627806228
2013,BENCINA,80000,CHEVROLET,9490000.0,5 o MAS,RM,ASISTIDA,MONOVOLUMEN,AUTOMATICA,CAPTIVA,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,SI,"(60000, 100000]","(5000000, 10000000]",16.06574917058611,9241640.001980443
2011,BENCINA,175000,TOYOTA,5850000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,RAV-4,SI,SI,SI,SI,SI,SI,SI,NO,SI,NO,SI,SI,SI,SI,"(100000, 250000]","(5000000, 10000000]",15.58195221920804,5793810.818171797
2016,BENCINA,42125,VOLKSWAGEN,9790000.0,4,RM,ASISTIDA,SEDAN,MANUAL,BORA,NO,NO,SI,SI,SI,SI,SI,SI,SI,NO,SI,SI,SI,SI,"(40000, 60000]","(5000000, 10000000]",16.096872014506694,9286755.105165472
2012,BENCINA,48656,DODGE,10700000.0,4,RM,PARTICULAR,FAMILIAR,AUTOMATICA,DURANGO,NO,NO,NO,NO,NO,NO,SI,NO,NO,NO,SI,NO,SI,NO,"(40000, 60000]","(10000000, 15000000]",16.185754299432134,11147492.774276178
2016,BENCINA,35200,NISSAN,10700000.0,5 o MAS,RM,PARTICULAR,MONOVOLUMEN,AUTOMATICA,X-TRAIL,SI,SI,SI,SI,SI,SI,SI,NO,NO,NO,SI,NO,SI,SI,"(15000, 40000]","(10000000, 15000000]",16.185754299432134,11147492.774276178
2013,BENCINA,47000,BMW,10500000.0,4,RM,,SEDAN,AUTOMATICA,320,NO,NO,SI,SI,SI,SI,SI,SI,NO,NO,SI,SI,SI,SI,"(40000, 60000]","(10000000, 15000000]",16.166885815127753,11147492.774276178
