ANIO;COLOR;COMBUSTIBLE;COMUNA;CONDICION;KILOMETROS;MARCA;PRECIO_NORMAL;PUERTAS;REGION;TIPO_AVISO;TIPO_CATEGORIA;TIPO_DIRECCION;TIPO_VEHICULO;TRANSMISION;VERSION;VISITAS;AIRBAG_ACOMP;AIRBAG_CONDUC;AIRBAG_CORTINA;AIRBAG_LAT;AIRBAG_TRAS;ALARMA;CIERRE_AUT_MOV;FRENOS_ABS;ISOFIX;AIRE_ACON;BLUETOOTH;CNTRL_VEL_CRUCERO;GPS;MANOS_LIBRES
2013;OTRO;BENCINA;SAN FERNANDO;USADO;107000;HYUNDAI;4950000;4;VI REGION;PARTICULAR;SEDAN;HIDRAULICA;;MANUAL;ACCENT;45;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;16700;CHEVROLET;11990000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;CAPTIVA;29;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2016;OTRO;DIESEL;LA CISTERNA;USADO;40450;MAHINDRA;7900000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;SCORPIO;123;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2008;BEIGE;BENCINA;SANTIAGO;USADO;187500;JEEP;8000000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;HIDRAULICA;;AUTOMATICA;COMMANDER;48;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2005;ROJO;BENCINA;SANTIAGO;USADO;192000;CHEVROLET;2100000;5 o MAS;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;AVEO;89;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2013;BLANCO;BENCINA;SANTIAGO;USADO;138000;BMW;8900000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;AUTOMATICA;320;30;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2017;AZUL;BENCINA;SANTIAGO;USADO;7;HYUNDAI;6850000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;MANUAL;ACCENT;40;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
1993;NEGRO;BENCINA;LA DEHESA;USADO;204000;MERCEDES BENZ;9000000;4;RM;PARTICULAR;SEDAN;ASISTIDA;;AUTOMATICA;SE 300;170;NO;NO;SI;SI;SI;NO;NO;NO;SI;NO;SI;NO;SI;SI
2015;OTRO;BENCINA;CONCEPCION;USADO;350000;VOLVO;12500000;4;VIII REGION;PARTICULAR;SEDAN;HIDRAULICA;;AUTOMATICA;S60;28;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2006;OTRO;BENCINA;LOTA;USADO;17000;TOYOTA;4200000;5 o MAS;VIII REGION;PARTICULAR;SEDAN;HIDRAULICA;;AUTOMATICA;YARIS;16;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;65000;SUZUKI;9100000;5 o MAS;RM;PARTICULAR;MONOVOLUMEN;ASISTIDA;;MANUAL;SX4 S-CROSS;4;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;75000;AUDI;8150000;3;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;A3;29;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;SI;SI;SI
2006;OTRO;DIESEL;SANTIAGO;USADO;800000;HYUNDAI;1800000;5 o MAS;RM;PARTICULAR;SEDAN;MECANICA;;MANUAL;ACCENT;13;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;25000;RENAULT;14300000;3;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;MANUAL;MEGANE RS;3;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
2016;OTRO;BENCINA;SANTIAGO;USADO;44000;KIA;5350000;5 o MAS;RM;PARTICULAR;HATCHBACK;ASISTIDA;;MANUAL;MORNING;7;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;SI;SI;SI
2011;VERDE;BENCINA;SANTIAGO;USADO;71000;GREAT WALL;3300000;4;RM;PARTICULAR;PICK UP;ASISTIDA;;MANUAL;DEER;9;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI
2011;OTRO;BENCINA;SANTIAGO;USADO;115000;CITROEN;4250000;5 o MAS;RM;PARTICULAR;HATCHBACK;HIDRAULICA;;AUTOMATICA;C4;25;SI;SI;SI;SI;SI;SI;SI;NO;NO;NO;SI;NO;SI;SI
2014;OTRO;BENCINA;SANTIAGO;USADO;75000;FORD;6790000;5 o MAS;RM;PARTICULAR;SEDAN;HIDRAULICA;;AUTOMATICA;FOCUS;26;SI;SI;SI;SI;SI;SI;SI;NO;SI;NO;SI;SI;SI;SI
